,Name,Team,Points,PointAverage,FangraphsId,POS
139,Jackson Chourio,MIL,397.41556,3.1237467773376095,sa3015704,OF
140,Eloy Jiménez,CHW,395.37911599999995,3.162273982244261,17484,DH
141,Maikel Garcia,KCR,393.90916000000004,3.039422530864198,22715,3B
142,Austin Hays,BAL,392.99956000000003,2.9482116413230215,19363,OF
143,Willson Contreras,STL,391.56501699999995,3.2605420594211103,11609,C
144,Brent Rooker,OAK,391.3542499999999,3.066102445177414,19627,OF
145,Cal Raleigh,SEA,389.60055500000004,3.023604844279916,21534,C
146,Luis Rengifo,LAA,387.78385999999995,2.9201251534296704,19858,2B/SS/ 3B/OF
147,Andrew Benintendi,CHW,386.2718699999999,2.8573574730924283,17901,OF
148,Yoán Moncada,CHW,385.65145,2.897412886357831,17232,3B
149,Anthony Rizzo,NYY,383.51835,3.1882282279785854,3473,1B
150,Brandon Lowe,TBR,382.56435,3.374773729710656,18882,2B
151,Lars Nootbaar,STL,381.5736100000001,3.3273769805627986,21454,OF
152,Jarred Kelenic,ATL,380.23647,3.176048028733712,22558,OF
153,Sean Murphy,ATL,376.52587000000005,3.226857522389339,19352,C
154,Logan O'Hoppe,LAA,375.60936,3.092886045305205,24729,C
155,Jeff McNeil,NYM,375.24928000000006,2.843982568494449,15362,2B/OF
156,Justin Turner,TOR,374.57319100000007,3.097924845547552,5235,1B
157,Starling Marte,NYM,374.10859,3.234079289746449,9241,OF
158,Alex Verdugo,NYY,374.09884000000005,2.985005824808899,17027,OF
159,Ryan Noda,OAK,373.24665999999996,2.9924129526741545,23312,1B
160,J.D. Martinez,,371.20588,3.56520788712915,6184,DH
161,Francisco Alvarez,NYM,370.600187,2.996153243540407,26121,C
162,Mark Canha,DET,368.91763,2.9268491661774267,11445,OF
163,Brendan Donovan,STL,368.82371,2.9953035717186154,24679,2B/OF
164,Vaughn Grissom,BOS,368.56260000000003,2.983925969105217,26031,SS
165,Brandon Marsh,PHI,368.15764999999993,2.9491540833900745,20202,OF
166,Javier Báez,DET,368.07820000000004,2.811860781347879,12979,SS
167,Brendan Rodgers,COL,367.85218199999997,3.0232106742496465,17907,2B
168,Kris Bryant,COL,366.87421,3.1874111432567918,15429,OF
169,Jose Siri,TBR,365.30935000000005,3.1022831302280163,17452,OF
170,Parker Meadows,DET,362.60094999999995,2.937871790509062,23800,OF
171,Joey Meneses,WSN,360.79469299999994,2.7503788153681956,14366,DH
172,Tommy Edman,STL,357.95745999999997,3.18839091824101,19470,2B/SS/ OF
173,Henry Davis,PIT,354.13946,3.0542692045640756,29617,OF
174,Orlando Arcia,ATL,354.0245069999999,2.787067853319057,13185,SS
175,Jonah Heim,TEX,351.03776,2.8459828935100733,16930,C
176,Yainer Diaz,HOU,350.69511000000006,3.036268722619522,23003,C
177,Hunter Renfroe,KCR,349.306612,3.0087738767916203,15464,OF
178,Mike Yastrzemski,SFG,348.78378000000004,2.963958189929892,14854,OF
179,Leody Taveras,TEX,345.51948000000004,2.8960537101762682,18900,OF
180,Giancarlo Stanton,NYY,345.03963280000005,3.3139287423884447,4949,OF
181,Colt Keith,DET,345.02181,2.948274385814997,sa3014474,3B
182,Tim Anderson,MIA,344.78752,2.822702950519042,15172,SS
183,Tommy Pham,,344.73605,3.1246186406112626,2967,OF
184,Seth Brown,OAK,344.60027999999994,2.9257217085657516,18171,OF
185,LaMonte Wade Jr.,SFG,344.51741000000004,2.9663209147344225,18126,1B/OF
186,Jackson Holliday,BAL,344.22380999999996,2.9847116510157896,sa3020241,SS
187,Matt Wallner,MIN,343.9714,3.087381969626252,26466,OF
188,Nolan Schanuel,LAA,343.71500999999995,2.935702718630691,33189,1B
189,Gavin Lux,LAD,343.5900000000001,2.93233082706767,19955,2B/OF
190,Alek Thomas,ARI,342.78314000000006,2.740993299109214,23792,OF
191,Gabriel Moreno,ARI,341.28277,2.742108066848787,22664,C
192,Will Benson,CIN,340.84759,3.0761307353525145,21853,OF
193,Michael Conforto,SFG,340.70577900000006,2.9644634038110156,16376,OF
194,DJ LeMahieu,NYY,340.68724,2.8456052253516417,9874,1B/3B
195,Jake Fraley,CIN,340.59737,3.228166300185768,19260,OF
196,Charlie Blackmon,COL,340.23469,3.1495338202486414,7859,OF
197,Mitch Garver,SEA,339.68406300000004,3.139380070424488,15161,C
198,Joc Pederson,ARI,339.51479,3.1147002862280284,11899,OF
199,Keibert Ruiz,WSN,339.41613399999994,2.760805052830219,19610,C
200,Carlos Santana,MIN,338.410703,2.9360637081381227,2396,1B
201,Andrew McCutchen,PIT,336.09702100000004,3.109073106880539,9847,DH
202,Brenton Doyle,COL,334.84799,2.7841587607779226,25479,OF
203,Bo Naylor,CLE,334.26386999999994,2.889156669202046,21865,C
204,Jesús Sánchez,MIA,331.67647000000005,2.887658627894829,19913,OF
205,Masyn Winn,STL,330.01393999999993,2.760283209822847,27479,SS
206,Nelson Velázquez,KCR,328.11641,3.2196684329310172,23359,OF
207,Jordan Westburg,BAL,327.06552,2.8650500626330406,27815,2B/3B
208,Mitch Haniger,SEA,326.51470000000006,2.9735055733644185,14274,OF
209,Brice Turang,MIL,326.29684,2.7332163977819097,22186,2B/SS
210,Shea Langeliers,OAK,325.91441999999995,2.722487469927826,25816,C
211,Luis García Jr.,WSN,324.08565000000004,2.818454694878552,20391,2B
212,Ramón Laureano,CLE,323.46389999999997,3.081048721245892,17128,OF
213,Elehuris Montero,COL,318.39819,3.02642615440184,20543,1B
214,Anthony Rendon,LAA,317.919666,3.084532361815871,12861,3B
215,Michael Massey,KCR,314.88686,2.82437603709783,27684,2B
216,Willi Castro,MIN,314.61866000000003,3.0381793249963787,17338,3B/OF
217,JJ Bleday,OAK,312.83437,2.7641649657609895,26368,OF
218,Whit Merrifield,PHI,310.73393,2.980975738447222,11281,2B/OF
219,Harrison Bader,NYM,309.9483,2.9467808180106863,18030,OF
220,Davis Schneider,TOR,307.14726999999993,3.1849294414943525,23565,2B
221,Rowdy Tellez,PIT,306.01547800000003,2.882967591807511,15679,1B
