#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS,Last,First
1551,Craig Dedelow,670286,670286,sa918840,,FA,OF,OF,Dedelow,Craig
1552,Craig Kimbrel,518886,6655,6655,7760,BAL,RP,RP,Kimbrel,Craig
1553,Craig Stammen,489334,7274,7274,7643,FA,RP,RP,Stammen,Craig
1554,Creed Willems,695735,695735,sa3017562,,BAL,C,C,Willems,Creed
1555,Cristhian Rodriguez,682725,682725,sa3008785,,MIA,SS,SS,Rodriguez,Cristhian
1556,Cristhian Vaquero,703143,703143,sa3018403,,WSH,OF,OF,Vaquero,Cristhian
1557,Cristian Charle,680606,680606,sa3006407,,MIA,RP,RP,Charle,Cristian
1558,Cristian Galindo,699109,699109,sa3017986,,CIN,RP,RP,Galindo,Cristian
1559,Cristian Gonzalez,682685,682685,sa3008771,,HOU,SS,SS,Gonzalez,Cristian
1560,Cristian Gonzalez,805054,805054,sa3018640,,TEX,SS,SS,Gonzalez,Cristian
1561,Cristian Hernandez,678707,678707,sa3005836,,PHI,SP,SP,Hernandez,Cristian
1562,Cristian Hernandez,694183,694183,sa3015696,,CHC,SS,SS,Hernandez,Cristian
1563,Cristian Inoa,665850,665850,sa917277,,FA,SS,SS,Inoa,Cristian
1564,Cristian Jauregui,808286,808286,sa3021231,,PIT,OF,OF,Jauregui,Cristian
1565,Cristian Javier,664299,664299,17606,10717,HOU,SP,SP,Javier,Cristian
1566,Cristian Jimenez,700368,700368,sa3017614,,WSH,RP,RP,Jimenez,Cristian
1567,Cristian Mena,691441,691441,sa3015302,11978,ARI,SP,SP,Mena,Cristian
1568,Cristian More,685580,685580,sa3011589,,CHC,OF,OF,More,Cristian
1569,Cristian Pache,665506,665506,19948,10172,PHI,OF,OF,Pache,Cristian
1570,Cristian Perez,666524,666524,sa917025,,FA,SS,SS,Perez,Cristian
1571,Cristian Santana,655996,655996,sa829387,,CIN,3B,3B,Santana,Cristian
1572,Cristian Santana,694184,694184,sa3015697,,DET,SS,SS,Santana,Cristian
1573,Cristofer Melendez,658667,658667,sa873429,,PIT,RP,RP,Melendez,Cristofer
1574,Cristofer Ogando,642657,642657,20667,11508,FA,RP,RP,Ogando,Cristofer
1575,Cristofer Torin,800198,800198,sa3018938,,ARI,SS,SS,Torin,Cristofer
1576,Cristofher Paniagua,803127,803127,sa3019806,,BOS,OF,OF,Paniagua,Cristofher
1577,Cristopfer Gonzalez,807837,807837,sa3021116,,HOU,OF,OF,Gonzalez,Cristopfer
1578,Cristopher Barete,683539,683539,sa3008887,,TB,OF,OF,Barete,Cristopher
1579,Cristopher Cespedes,660642,660642,sa872783,,BAL,OF,OF,Cespedes,Cristopher
1580,Cristopher Cruz,691260,691260,sa3015301,,PIT,SP,SP,Cruz,Cristopher
1581,Cristopher Navarro,665888,665888,sa917065,,COL,SS,SS,Navarro,Cristopher
1582,Cristopher Sanchez,650911,650911,20778,10770,PHI,SP,SP,Sanchez,Cristopher
1583,Cruzmel Arias,805466,805466,sa3019527,,COL,3B,3B,Arias,Cruzmel
1584,Cullen Large,675925,675925,sa3003959,,FA,3B,3B,Large,Cullen
1585,Curt Casali,592200,12510,12510,8847,MIA,C,C,Casali,Curt
1586,Curtis Mead,678554,678554,23986,11606,TB,3B,2B/3B,Mead,Curtis
1587,Curtis Taylor,668954,668954,sa917970,,MIN,RP,RP,Taylor,Curtis
1588,Curtis Terry,663799,663799,18881,11242,FA,DH,DH,Terry,Curtis
1589,Cutter Coffey,702690,702690,sa3020280,,BOS,SS,SS,Coffey,Cutter
1590,Cy Nielson,686951,686951,sa3020321,,PIT,RP,RP,Nielson,Cy
1591,D’Andre Smith,694266,694266,sa3020536,,NYM,2B,2B,Smith,D’Andre
1592,D’Angelo Tejada,808382,808382,sa3021263,,CHW,SS,SS,Tejada,D’Angelo
1593,D’Shawn Knowles,677610,677610,sa3006889,10387,LAA,OF,OF,Knowles,D’Shawn
1594,D.J. Artis,663600,663600,sa3007632,,CHC,OF,OF,Artis,D.J.
1595,D.J. Peterson,592637,592637,sa549926,8705,FA,3B,3B,Peterson,D.J.
1596,D.J. Snelten,592769,592769,15949,9901,FA,RP,RP,Snelten,D.J.
1597,Dahian Santos,692479,692479,sa3015282,,TOR,SP,SP,Santos,Dahian
