,Name,Pos,FV,Age,ETA,Proj Team,PlayerId,Org
122,Leo Jimenez,SS,45,22.8194444,2024.0,,sa3006891,TOR
126,Parker Meadows,CF,45,24.3611111,2024.0,,23800,DET
134,Adam Macko,MIRP,45,23.2,2024.0,,sa3011555,TOR
135,Mike Vasil,SP,45,23.9805555,2024.0,,sa3017915,NYM
139,Robert Gasser,SP,45,24.7833333,2024.0,,sa3017310,MIL
140,Yariel Rodriguez,SIRP,45,27.0055555,2024.0,,sa3023349,TOR
148,Yosver Zulueta,SIRP,45,26.1361111,2024.0,,sa3014869,TOR
157,Jorbit Vivas,2B,45,23.0083333,2024.0,,sa3005511,NYY
179,Gavin Stone,SIRP,45,25.4083333,2024.0,,27792,LAD
11,Kazuma Okamoto,1B,45,27.5388888,2025.0,,,
17,Raidel Martinez,SIRP,45,27.2583333,2025.0,,sa3023350,
102,Adam Mazur,SP,45,22.8944444,2025.0,,sa3020815,SDP
127,T.J. Brock,SIRP,45,24.5888888,2025.0,,sa3020079,TOR
128,Dominic Hamel,SP,45,25.0277777,2025.0,,sa3017949,NYM
142,Jonathan Cannon,SP,45,23.6472222,2025.0,,sa3020591,CHW
150,Cristian Mena,SP,45,21.225,2025.0,,sa3015302,ARI
164,Justin Wrobleski,SP,45,23.6611111,2025.0,,sa3019501,LAD
101,Graham Pauley,3B,45,23.4666666,2026.0,,sa3019858,SDP
123,Bryan Rincon,SS,45,20.0944444,2026.0,,sa3020221,PHI
133,Kevin McGonigle,SS,45,19.5666666,2026.0,,sa3022895,DET
136,Jacob Gonzalez,SS,45,21.7833333,2026.0,,sa3022498,CHW
141,Troy Melton,SP,45,23.275,2026.0,,sa3020652,DET
143,Henry Lalane,SP,45,19.8166666,2026.0,,sa3016066,NYY
117,Aidan Miller,3B,45,19.7583333,2027.0,,sa3022609,PHI
125,Luis Lara,CF,45,19.3194444,2027.0,,sa3018514,MIL
132,Josh Knoth,SP,45,18.5888888,2027.0,,,MIL
147,Eric Brown Jr.,SS,45,23.2305555,2027.0,,sa3019923,MIL
156,Josh Kasevich,3B,45,23.1527777,2027.0,,sa3020203,TOR
163,Brandon Barriera,SP,45,20.0222222,2027.0,,sa3020683,TOR
188,Payton Martin,SP,45,19.8138888,2027.0,,sa3020869,LAD
149,Brando Mayea,CF,45,18.5,2028.0,,sa3020679,NYY
